"","observed","mean.simulated","lowCI","uppCI","sign"
"K19575",6.01417362692989,27.1076365395439,21.0824303703721,33.1408647140865,"SPECIALIST"
"K19576",35.1080700984306,33.7984238583972,27.4842216370896,39.0340853773423,"NON SIGNIFICANT"
"K19577",40.3245849487306,36.8548393444053,31.5032697216373,41.521931721809,"NON SIGNIFICANT"
"K19578",11.8580323785803,25.1371523440874,18.9294784862255,31.0162866449511,"SPECIALIST"
"K19580",13.5402964744263,31.6493065304014,25.5287399150251,37.3447804110602,"SPECIALIST"
"K19585",28.8202063599072,34.3348327977477,27.6595763598285,39.5130254715794,"NON SIGNIFICANT"
"K19586",37.486064939681,32.8545200502543,27.0548012669596,38.6994761184151,"NON SIGNIFICANT"
"K19587",5.90405904059041,22.1282705281265,16.9312169312169,27.8260869565217,"SPECIALIST"
"K19588",29.4571158168697,29.4270565617882,22.8614360342407,35.4555813082925,"NON SIGNIFICANT"
"K19591",34.6858525220619,35.4921688901096,29.6676898641709,40.6126191527498,"NON SIGNIFICANT"
"K19593",5.12121212121212,9.57465926917162,6.25925925925926,13,"SPECIALIST"
"K19594",16.7340425531915,29.7789178194394,23.1608471239911,35.5327733508895,"SPECIALIST"
"K19595",39.069946494961,35.5189571879535,29.2857932945129,40.5388458898477,"NON SIGNIFICANT"
"K19597",1,8.50021345333079,5.26086956521739,11,"SPECIALIST"
"K19607",5.90243902439024,13.2418752068752,8.96296296296296,17.2857142857143,"SPECIALIST"
"K19609",9.97875166002656,29.0938862332449,23.0155463586657,34.8124525420868,"SPECIALIST"
"K19610",18.8281774666,30.371626946058,24.2645048331225,36.5639091684064,"SPECIALIST"
"K19612",21.9709724238026,31.2025127443741,24.4815285469248,36.7872450557622,"SPECIALIST"
"K19613",10.3671568561377,30.9001347163116,24.4030499513689,36.6340000890758,"SPECIALIST"
"K19615",23.4935351624093,30.4894394514318,23.9674422518234,36.4040862051993,"SPECIALIST"
"K19616",29.9236020191351,33.8391797601509,27.4865842739243,39.5041269183017,"NON SIGNIFICANT"
"K19618",5.48261056247316,24.1467697885988,18.4776826566262,29.493028458443,"SPECIALIST"
"K19620",24.5379929016572,31.9167428397227,25.7027315294907,37.5959627033779,"SPECIALIST"
"K19621",12.6710586097229,26.0855052207608,20.4270505239133,31.9461626575029,"SPECIALIST"
"K19622",13.4335030379769,32.1484626428925,25.8062631783394,37.6695808070653,"SPECIALIST"
"K19623",21.8895605144753,31.6391612070183,25.2751709101153,37.804510453008,"SPECIALIST"
"K19624",9.6425702811245,19.0112735450414,13.72,23.7722772277228,"SPECIALIST"
"K19640",33.090691793981,36.3556053325797,30.8869943280888,41.3025079781592,"NON SIGNIFICANT"
"K19641",34.3530476873546,34.3880278018433,28.2998247930817,39.8979221219707,"NON SIGNIFICANT"
"K19647",10.7560975609756,12.8438929358346,8.64705882352941,17.64,"NON SIGNIFICANT"
"K19659",3.80845070422535,19.4012959333898,14.0797036082474,24.1428571428571,"SPECIALIST"
"K19660",3.99543817527011,24.7686290372107,18.7578407657706,30.4250945105077,"SPECIALIST"
"K19661",18.7112954340937,31.2302318396007,24.5949041744706,36.8732930527923,"SPECIALIST"
"K19664",38.1445385306995,35.8562401546098,29.923201609388,40.7723479758868,"NON SIGNIFICANT"
"K19666",11.5942028985507,22.1157983005042,16.7539267015707,27.3504273504273,"SPECIALIST"
"K19668",37.9940875932936,36.1616872338289,30.3912602395877,40.918192370774,"NON SIGNIFICANT"
"K19670",40.9998578706585,36.0363042397164,30.2853355592981,41.0818138520654,"NON SIGNIFICANT"
"K19681",17.3254901960784,28.8386257288722,22.4402789460962,34.5861413171398,"SPECIALIST"
"K19686",36.6079828024528,34.2304734604515,27.8268180196011,39.8578137274854,"NON SIGNIFICANT"
"K19687",38.0811209962956,33.7908735378715,27.6661779918634,39.2228761902217,"NON SIGNIFICANT"
"K19689",40.6630421168371,40.8144718714942,37.2327222973052,42.6921630226915,"NON SIGNIFICANT"
"K19690",25.1160430150234,34.2418880785625,27.9007601723267,39.6265512991672,"SPECIALIST"
"K19691",29.7927234286218,32.2178767022052,26.1034685795855,38.0684930442565,"NON SIGNIFICANT"
"K19692",11.8275183766435,29.4938228900758,22.8774389547094,35.1416543790227,"SPECIALIST"
"K19693",38.8667780020891,35.4344298052343,29.2836996470811,40.6285808093034,"NON SIGNIFICANT"
"K19694",39.0761745720946,37.0030768316869,31.3558999253244,41.7222442704194,"NON SIGNIFICANT"
"K19696",12.7772363572006,32.9817329715986,26.8731476636525,38.4129868614735,"SPECIALIST"
"K19701",40.9999168948731,35.8217840391248,30.1953318817621,40.9049757856972,"GENERALIST"
"K19702",35.8678320196388,34.883754031042,29.1669731874549,40.0996263754799,"NON SIGNIFICANT"
"K19703",23.0081754450508,31.0567172826321,24.7689943136242,37.14570765711,"SPECIALIST"
"K19706",21.2398347466841,29.3063045120831,23.0422865410903,34.737862285838,"SPECIALIST"
"K19707",39.6073980394202,35.3425278279003,29.5458725595272,40.3964596547887,"NON SIGNIFICANT"
"K19709",19.7846535791458,31.4755489678905,24.9122456812492,37.2443399274333,"SPECIALIST"
"K19710",40.691336705903,38.424413630864,33.3523481599064,42.4345676475791,"NON SIGNIFICANT"
"K19712",19.5339114276866,29.1319293535191,22.911230743295,34.7268740989727,"SPECIALIST"
"K19713",40.8281492188897,36.3892271081877,30.628914876226,41.5159516218803,"NON SIGNIFICANT"
"K19714",40.4245937030448,33.6254403546814,27.0598609674664,38.9650514014911,"GENERALIST"
"K19715",38.5046519400053,34.8781226166016,28.2519017050317,40.1415021840966,"NON SIGNIFICANT"
"K19719",6.83441014596793,25.8565349668438,19.4676608013969,31.1478306547247,"SPECIALIST"
"K19720",23.8963359195841,34.2273269067207,27.6716167143238,39.8494515184265,"SPECIALIST"
