,observed,mean.simulated,lowCI,uppCI,sign
K09529,9.199004975,13.5297271,9.291457286,17.28860258,SPECIALIST
K09530,3.694202155,16.65071075,12,20.63037249,SPECIALIST
K09534,5.622073579,13.25540326,9.183309703,17.32989691,SPECIALIST
K09537,1.850781068,18.07848861,13.26232895,22.3464045,SPECIALIST
K09540,5.309392265,14.71366181,10.11578947,19.02970297,SPECIALIST
K09542,2.133333333,6.03949899,3.555555556,8,SPECIALIST
K09552,5.573459716,15.58247675,11.025,19.82022472,SPECIALIST
K09561,5.408,14.06385938,9.657142857,18.27027027,SPECIALIST
K09564,3.822704508,16.25339446,11.50538086,20.77858439,SPECIALIST
K09565,1.6,3.560266667,2,4,SPECIALIST
K09568,9.415686275,16.19667198,11.45993835,20.52579023,SPECIALIST
K09570,2.333333333,8.477845162,5.157894737,12.25,SPECIALIST
K09571,5.086275874,17.45386573,12.41629711,22.00308636,SPECIALIST
K09573,3.555555556,10.93660296,7.195609756,15.15789474,SPECIALIST
K09582,7.211731044,15.27988495,10.9337432,19.46332046,SPECIALIST
K09584,13.53694086,18.9495666,14.12622378,23.17285329,SPECIALIST
K09591,3.225483074,17.13453314,12.50515865,21.16497638,SPECIALIST
K09604,9.774261789,18.63069368,13.72855912,23.04953374,SPECIALIST
K09611,5.644295302,16.53208478,11.78283713,20.82972136,SPECIALIST
K09612,9.863687402,18.70738363,13.98064748,22.96027182,SPECIALIST
K09628,2.050632911,9.639026298,6,13.5,SPECIALIST
K09632,1.509661836,16.18320496,11.60025672,20.49180328,SPECIALIST
K09633,4.491278148,16.63123082,12.03143585,20.73352855,SPECIALIST
K09635,4.5,7.806065803,5.142857143,10.28571429,SPECIALIST
K09636,4.79002079,16.07287355,11.46197548,20.38938053,SPECIALIST
K09640,6.177213055,19.71062971,14.63333859,24.05004609,SPECIALIST
K09641,4.425975414,17.52002233,13.05096452,21.59322034,SPECIALIST
K09643,2.223097113,15.35271296,10.49380531,19.57420113,SPECIALIST
